,character name,Appearances,Minor Appearances,Mentions,Total Appearances (Full and Minor),Appearances and Mentions (Full + Minor + Mentions)
1213,Ryest,3,0,0,3,3
763,Lupo,3,0,0,3,3
762,Brainchild,3,0,0,3,3
754,Amphibius,3,0,0,3,3
1157,Alliance of Evil,3,0,0,3,3
1158,Wendy Sherman,3,0,0,3,3
1276,Tusk (Inhuman),3,0,0,3,3
1280,Barrage,3,0,0,3,3
1282,Jen Askani (Earth-4935),3,0,0,3,3
631,San Francisco Police Department,3,0,0,3,3
1346,Susie Griswald (Earth-99476),3,0,0,3,3
1345,Calvin Griswald (Earth-99476),3,0,0,3,3
1344,Martha Griswald (Earth-99476),3,0,0,3,3
598,United Nations,3,0,0,3,3
1114,Kristina Anderson,3,0,0,3,3
602,Neal Conan,3,0,1,3,4
1162,Worthington Industries,3,0,0,3,3
617,Lindsay McCabe,3,0,0,3,3
1333,Kurt Wagner (Earth-597),3,0,0,3,3
629,Sabrina Morrel,3,0,0,3,3
630,Julia Carpenter,3,0,1,3,4
1332,Brian Braddock (Earth-597),3,0,0,3,3
1305,Crazy Gang,3,0,1,3,4
1331,Katherine Pryde (Earth-597),3,0,0,3,3
1330,Lightning Force (Earth-597),3,0,0,3,3
1115,Juliana Worthing,3,0,0,3,3
845,Charles Xavier (War Skrull),3,0,0,3,3
824,Debra Levin,3,0,0,3,3
1125,Brute (Morlock),3,0,0,3,3
806,Bliss (Morlock),3,0,0,3,3
645,Phil Hovannes,3,0,0,3,3
794,Cylla Markham,3,0,0,3,3
1306,Tweedledope,3,0,0,3,3
652,Janos Quested,3,0,0,3,3
910,Marcus Gallio,3,0,0,3,3
808,Nguyen Ngoc Coy,3,1,4,4,8
1616,Segismund Joshua,3,0,0,3,3
126,Fang (Imperial Guard),3,1,0,4,4
160,Nanny (Magneto's Robot),3,0,0,3,3
149,James Carter,3,0,0,3,3
148,Jonathan Storm,3,2,1,5,6
145,Janet Van Dyne,3,1,0,4,4
137,Titan,3,1,0,4,4
136,Grannz,3,1,0,4,4
131,Nightside,3,0,0,3,3
408,Wolfgang von Strucker,3,0,1,3,4
416,Living Armada,3,0,0,3,3
88,Vanisher,3,1,1,4,5
70,Lois Lane,3,0,0,3,3
69,Clark Kent,3,0,0,3,3
64,Bonnie Wilford,3,0,0,3,3
63,Julius Schwartz,3,0,0,3,3
